step,action_dit_loss,epoch,lab/drift,lab/loss_gr00t,lab/loss_oft,lab/loss_pi,learning_rate/head,learning_rate/qwen_vl_interface,learning_rate/qwen_vl_interface. model.model.language_model.embed_ tokens,learning_rate/qwen_vl_interface. model.model.language_model.layers .0,learning_rate/qwen_vl_interface. model.model.language_model.layers .1,learning_rate/qwen_vl_interface. model.model.language_model.layers .10,learning_rate/qwen_vl_interface. model.model.language_model.layers .11,learning_rate/qwen_vl_interface. model.model.language_model.layers .12,learning_rate/qwen_vl_interface. model.model.language_model.layers .13,learning_rate/qwen_vl_interface. model.model.language_model.layers .14,learning_rate/qwen_vl_interface. model.model.language_model.layers .15,learning_rate/qwen_vl_interface. model.model.language_model.layers .16,learning_rate/qwen_vl_interface. model.model.language_model.layers .17,learning_rate/qwen_vl_interface. model.model.language_model.layers .18,learning_rate/qwen_vl_interface. model.model.language_model.layers .19,learning_rate/qwen_vl_interface. model.model.language_model.layers .2,learning_rate/qwen_vl_interface. model.model.language_model.layers .20,learning_rate/qwen_vl_interface. model.model.language_model.layers .21,learning_rate/qwen_vl_interface. model.model.language_model.layers .22,learning_rate/qwen_vl_interface. model.model.language_model.layers .23,learning_rate/qwen_vl_interface. model.model.language_model.layers .24,learning_rate/qwen_vl_interface. model.model.language_model.layers .25,learning_rate/qwen_vl_interface. model.model.language_model.layers .26,learning_rate/qwen_vl_interface. model.model.language_model.layers .27,learning_rate/qwen_vl_interface. model.model.language_model.layers .28,learning_rate/qwen_vl_interface. model.model.language_model.layers .29,learning_rate/qwen_vl_interface. model.model.language_model.layers .3,learning_rate/qwen_vl_interface. model.model.language_model.layers .30,learning_rate/qwen_vl_interface. model.model.language_model.layers .31,learning_rate/qwen_vl_interface. model.model.language_model.layers .32,learning_rate/qwen_vl_interface. model.model.language_model.layers .33,learning_rate/qwen_vl_interface. model.model.language_model.layers .34,learning_rate/qwen_vl_interface. model.model.language_model.layers .35,learning_rate/qwen_vl_interface. model.model.language_model.layers .4,learning_rate/qwen_vl_interface. model.model.language_model.layers .5,learning_rate/qwen_vl_interface. model.model.language_model.layers .6,learning_rate/qwen_vl_interface. model.model.language_model.layers .7,learning_rate/qwen_vl_interface. model.model.language_model.layers .8,learning_rate/qwen_vl_interface. model.model.language_model.layers .9,learning_rate/qwen_vl_interface. model.model.visual,mse_score,timing/data,timing/model
110,1.525309681892395,0.02,0.0013107870899635567,0.6642546057701111,0.36462411284446716,0.49643099308013916,8.187213662662538e-05,8.187213662662539e-06,2.0027944341210912e-08,2.356228746024813e-08,2.772033818852721e-08,1.1968182222138857e-07,1.408021437898689e-07,1.6564958092925752e-07,1.9488185991677357e-07,2.292727763726748e-07,2.6973267808549976e-07,3.173325624535291e-07,3.7333242641591666e-07,4.3921461931284315e-07,5.167230815445213e-07,3.26121625747379e-08,6.079095076994368e-07,7.151876561169845e-07,8.413972424905702e-07,9.898791088124353e-07,1.1645636574263947e-06,1.370074891089876e-06,1.611852813046913e-06,1.8962974271140153e-06,2.2309381495459008e-06,2.624633117112824e-06,3.836725008792694e-08,3.087803667191558e-06,3.6327101966959507e-06,4.273776701995236e-06,5.0279725905826315e-06,5.915261871273683e-06,6.959131613263157e-06,4.513794127991405e-08,5.310346032931065e-08,6.24746592109537e-08,7.349959907171025e-08,8.647011655495323e-08,1.0172954888818027e-07,2.0027944341210912e-08,,0.0007641920819878578,2.461369904689491
120,1.5156641006469727,0.02,0.0013107870899635567,0.6745581030845642,0.3403061628341675,0.5007998943328857,7.75e-05,7.75e-06,1.8958411865106627e-08,2.2304013958948975e-08,2.6240016422292912e-08,1.1329057240141953e-07,1.332830263546112e-07,1.5680356041718964e-07,1.844747769613996e-07,2.1702914936635249e-07,2.553284110192382e-07,3.003863659049861e-07,3.5339572459410137e-07,4.157596759930604e-07,4.891290305800711e-07,3.087060755563873e-08,5.754459183294954e-07,6.769951980347005e-07,7.964649388643536e-07,9.370175751345336e-07,1.1023736178053337e-06,1.2969101385945101e-06,1.5257766336406001e-06,1.795031333694824e-06,2.111801569052734e-06,2.484472434179687e-06,3.63183618301632e-08,2.9229087460937498e-06,3.4387161718749995e-06,4.045548437499999e-06,4.75946875e-06,5.599375e-06,6.5875e-06,4.272748450607436e-08,5.026762883067572e-08,5.913838685961849e-08,6.957457277602176e-08,8.18524385600256e-08,9.62969865412066e-08,1.8958411865106627e-08,,0.0005856379866600037,2.4072945825755596
130,1.5300710201263428,0.02,0.006473012121086776,0.6850721836090088,0.336892694234848,0.5081061720848083,7.282358947176207e-05,7.282358947176207e-06,1.781444648646591e-08,2.0958172337018716e-08,2.4656673337669078e-08,1.064545307817021e-07,1.2524062444906128e-07,1.4734191111654267e-07,1.733434248429914e-07,2.0393344099175463e-07,2.3992169528441715e-07,2.8226081798166723e-07,3.320715505666674e-07,3.9067241243137345e-07,4.596146028604393e-07,2.9007850985493038e-08,5.407230621887522e-07,6.361447790455908e-07,7.484056224065775e-07,8.804772028312675e-07,1.0358555327426676e-06,1.2186535679325503e-06,1.4337100799206473e-06,1.6867177410831146e-06,1.9843738130389586e-06,2.334557427104657e-06,3.412688351234475e-08,2.746538149534891e-06,3.2312213523939894e-06,3.801436885169399e-06,4.472278688434587e-06,5.2615043393348085e-06,6.190005105099776e-06,4.014927472040559e-08,4.723444084753599e-08,5.5569930408865866e-08,6.53763887163128e-08,7.691339848977975e-08,9.048635116444678e-08,1.781444648646591e-08,,0.0006601298227906227,2.386942013166845
140,0.974496603012085,0.02,0.006473012121086776,0.4449542760848999,0.2583382725715637,0.2712040841579437,6.790614547199907e-05,6.790614547199908e-06,1.6611518374580696e-08,1.9542962793624346e-08,2.29917209336757e-08,9.926614309802371e-08,1.1678369776238083e-07,1.3739258560280097e-07,1.6163833600329526e-07,1.9016274823917092e-07,2.2372088028137753e-07,2.6320103562515004e-07,3.096482772060589e-07,3.642920908306575e-07,4.2857893038900885e-07,2.7049083451383182e-08,5.042105063400104e-07,5.931888309882476e-07,6.978692129273502e-07,8.210226034439413e-07,9.659089452281662e-07,1.1363634649743133e-06,1.3368981940874274e-06,1.572821404808738e-06,1.850378123304398e-06,2.1769154391816446e-06,3.182245111927433e-08,2.5610769872725235e-06,3.0130317497323803e-06,3.544743234979271e-06,4.170286158799143e-06,4.906219010351933e-06,5.772022365119921e-06,3.7438177787381566e-08,4.404491504397832e-08,5.1817547110562727e-08,6.09618201300738e-08,7.171978838832212e-08,8.437622163332015e-08,1.6611518374580696e-08,,0.0007680533453822136,2.368294802494347
150,1.4500625133514404,0.02,0.012016874276767262,0.586959719657898,0.29727113246917725,0.5658316016197205,6.281416799501188e-05,6.281416799501188e-06,1.536589506856044e-08,1.8077523610071104e-08,2.126767483537777e-08,9.182261996224286e-08,1.0802661172028571e-07,1.2709013143563024e-07,1.4951780168897678e-07,1.7590329610467858e-07,2.069450542407983e-07,2.4346476969505684e-07,2.8642914081771397e-07,3.369754597855458e-07,3.9644171739475976e-07,2.5020793923973853e-08,4.6640202046442326e-07,5.487082593699098e-07,6.455391286704821e-07,7.594577984358612e-07,8.934797628657192e-07,1.0511526621949637e-06,1.2366501908176044e-06,1.4548825774324758e-06,1.711626561685266e-06,2.0136783078650185e-06,2.943622814585159e-08,2.3690333033706103e-06,2.7870980039654236e-06,3.2789388281946163e-06,3.857575091993667e-06,4.538323637639608e-06,5.339204279576009e-06,3.463085664217834e-08,4.07421842849157e-08,4.7931981511665524e-08,5.639056648431239e-08,6.634184292272046e-08,7.804922696790643e-08,1.536589506856044e-08,0.01947933861187526,0.0005128057673573494,11.893990360200405
160,1.2418409585952759,0.02,0.012016874276767262,0.5634963512420654,0.22763502597808838,0.45070958137512207,5.761651730097142e-05,5.761651730097142e-06,1.4094421486772359e-08,1.6581672337379245e-08,1.9507849808681466e-08,8.4224622255527e-08,9.908779088885529e-08,1.165738716339474e-07,1.3714573133405577e-07,1.613479192165362e-07,1.8982108143121907e-07,2.2331891933084595e-07,2.627281403892306e-07,3.09091929869683e-07,3.6363756455256824e-07,2.2950411539625258e-08,4.2780889947360973e-07,5.033045876160115e-07,5.921230442541312e-07,6.966153461813308e-07,8.195474660956832e-07,9.641734895243332e-07,1.1343217523815684e-06,1.3344961792724336e-06,1.5699955050263926e-06,1.8470535353251677e-06,2.7000484164265006e-08,2.17300415920608e-06,2.5564754814189174e-06,3.0076182134340206e-06,3.538374368745907e-06,4.162793374995184e-06,4.89740397058257e-06,3.1765275487370594e-08,3.737091233808306e-08,4.396577922127418e-08,5.172444614267552e-08,6.085228957961825e-08,7.159092891719795e-08,1.4094421486772359e-08,,0.0005397945642471313,2.1726852552965283
170,1.5218716859817505,0.03,0.012016874276767262,0.7033975124359131,0.3366548717021942,0.4818192422389984,5.23834826990286e-05,5.23834826990286e-06,1.2814292128217697e-08,1.5075637797903172e-08,1.773604446812138e-08,7.657489986261684e-08,9.008811748543158e-08,1.0598602057109598e-07,1.2468943596599529e-07,1.466934540776415e-07,1.7258053420899e-07,2.0303592259881177e-07,2.3886579129271976e-07,2.81018577991435e-07,3.306100917546294e-07,2.0865934668378097e-08,3.8895304912309347e-07,4.57591822497757e-07,5.383433205855966e-07,6.333450830418783e-07,7.451118624022097e-07,8.766021910614231e-07,1.0312966953663802e-06,1.2132902298428002e-06,1.4274002704032946e-06,1.6792944357685818e-06,2.4548158433385996e-08,1.97564051266892e-06,2.324282956081082e-06,2.7344505365659793e-06,3.2170006312540935e-06,3.7847066250048155e-06,4.452596029417431e-06,2.8880186392218816e-08,3.397668987319861e-08,3.9972576321410126e-08,4.702656037812957e-08,5.5325365150740665e-08,6.508866488322432e-08,1.2814292128217697e-08,,0.0006674705073237419,2.4829339180141687
180,1.543229579925537,0.03,0.0015575813575641811,0.5904474258422852,0.34909477829933167,0.6036874651908875,4.718583200498814e-05,4.718583200498814e-06,1.1542818546429616e-08,1.3579786525211312e-08,1.5976219441425073e-08,6.897690215590099e-08,8.114929665400116e-08,9.546976076941313e-08,1.1231736561107429e-07,1.3213807718949917e-07,1.5545656139941077e-07,1.828900722346009e-07,2.151647908642364e-07,2.5313504807557226e-07,2.978059389124379e-07,1.87955522840295e-08,3.503599281322799e-07,4.121881507438587e-07,4.849272361692457e-07,5.705026307873477e-07,6.711795656321738e-07,7.896230183907927e-07,9.289682569303444e-07,1.092903831682758e-06,1.2857692137444215e-06,1.512669663228731e-06,2.2112414451799413e-08,1.7796113685043897e-06,2.093660433534576e-06,2.4631299218053837e-06,2.897799908006334e-06,3.4091763623603925e-06,4.010795720423992e-06,2.601460523741107e-08,3.060541792636597e-08,3.600637403101879e-08,4.23604400364927e-08,4.983581180763846e-08,5.863036683251584e-08,1.1542818546429616e-08,,0.0005240757018327713,2.446416781283915
190,1.1579393148422241,0.03,0.0015575813575641811,0.5278657078742981,0.23749962449073792,0.3925739526748657,4.209385452800095e-05,4.2093854528000955e-06,1.0297195240409363e-08,1.2114347341658073e-08,1.4252173343127146e-08,6.153337902012017e-08,7.239221061190608e-08,8.516730660224243e-08,1.0019683129675581e-07,1.1787862505500686e-07,1.3868073535883157e-07,1.6315380630450775e-07,1.919456544758915e-07,2.2581841703046057e-07,2.656687259181889e-07,1.6767262756620172e-08,3.125514422566928e-07,3.6770757912552097e-07,4.325971519123777e-07,5.089378257792678e-07,5.987503832697268e-07,7.044122156114434e-07,8.287202536605216e-07,9.74965004306496e-07,1.1470176521252896e-06,1.3494325319121053e-06,1.9726191478376672e-08,1.587567684602477e-06,1.86772668776762e-06,2.1973255150207295e-06,2.5850888412008583e-06,3.0412809896480687e-06,3.5779776348800806e-06,2.3207284092207853e-08,2.7302687167303356e-08,3.212080843212159e-08,3.778918639073129e-08,4.445786634203681e-08,5.230337216710214e-08,1.0297195240409363e-08,,0.0008494704961776733,2.1459186701104045
200,1.0982848405838013,0.03,0.0049439556379171695,0.5261991620063782,0.266977459192276,0.3051081597805023,3.717641052823794e-05,3.7176410528237942e-06,9.094267128524143e-09,1.0699137798263698e-08,1.2587220939133762e-08,5.4344991336441746e-08,6.393528392522558e-08,7.521798108850068e-08,8.849174245705964e-08,1.0410793230242311e-07,1.2247992035579187e-07,1.4409402394799046e-07,1.695223811152829e-07,1.994380954297446e-07,2.3463305344675833e-07,1.4808495222510311e-08,2.76038886407951e-07,3.2475163106817766e-07,3.820607424331502e-07,4.494832263919414e-07,5.288037957552252e-07,6.221221126532061e-07,7.319083678273013e-07,8.610686680321192e-07,1.0130219623907286e-06,1.1917905439890923e-06,1.7421759085306248e-08,1.402106522340109e-06,1.6495370851060104e-06,1.9406318648306006e-06,2.2830963115654123e-06,2.685995660665191e-06,3.159994894900225e-06,2.0496187159183822e-08,2.4113161363745674e-08,2.836842513381844e-08,3.3374617804492286e-08,3.926425624057916e-08,4.6193242635975484e-08,9.094267128524143e-09,0.020624861121177673,0.0006250441074371338,11.73786866106093
210,1.2180371284484863,0.03,0.0049439556379171695,0.5258088707923889,0.25771141052246094,0.4345168471336365,3.250000000000001e-05,3.2500000000000015e-06,7.950301749883428e-09,9.353296176333444e-09,1.1003877854509935e-08,4.750894971672433e-08,5.589288201967569e-08,6.575633178785374e-08,7.736039033865147e-08,9.101222392782528e-08,1.0707320462097089e-07,1.2596847602467165e-07,1.4819820708784901e-07,1.7435083186805765e-07,2.0511862572712666e-07,1.294573865236463e-08,2.413160302672078e-07,2.8390121207906803e-07,3.340014259753742e-07,3.929428540886755e-07,4.6228571069255944e-07,5.438655419912464e-07,6.398418141073487e-07,7.527550754204102e-07,8.855942063769534e-07,1.0418755369140626e-06,1.52302807674878e-08,1.2257359257812504e-06,1.4420422656250004e-06,1.6965203125000003e-06,1.9959062500000007e-06,2.3481250000000005e-06,2.762500000000001e-06,1.7917977373515058e-08,2.1079973380605955e-08,2.4799968683065828e-08,2.917643374478333e-08,3.4325216170333324e-08,4.038260725921568e-08,7.950301749883428e-09,,0.0004927031695842743,2.2553699146956205
220,1.109078288078308,0.03,0.0049439556379171695,0.4694999158382416,0.26827067136764526,0.37130776047706604,2.8127863373374635e-05,2.8127863373374637e-06,6.880769273779146e-09,8.09502267503429e-09,9.523556088275634e-09,4.1117699896755295e-08,4.837376458441799e-08,5.691031127578587e-08,6.69533073832775e-08,7.876859692150296e-08,9.266893755470935e-08,1.0902227947612864e-07,1.2826150526603372e-07,1.5089588854827497e-07,1.7752457476267642e-07,1.1204183633265453e-08,2.0885244089726637e-07,2.45708753996784e-07,2.8906912234915765e-07,3.400813204107737e-07,4.000956710714985e-07,4.707007894958805e-07,5.53765634701036e-07,6.514889820012188e-07,7.664576258837869e-07,9.017148539809256e-07,1.3181392509724062e-08,1.060841004683442e-06,1.2480482408040494e-06,1.468292048004764e-06,1.7274024094173697e-06,2.0322381287263172e-06,2.390868386736844e-06,1.550752059967537e-08,1.8244141881971025e-08,2.1463696331730616e-08,2.5251407449094843e-08,2.9707538175405696e-08,3.4950044912241996e-08,6.880769273779146e-09,,0.0007444005459547043,2.2938067112118006
